city,month,last_available_deaths
São Paulo,2020-03-01,561
São Paulo,2020-04-01,19458
São Paulo,2020-05-01,87297
São Paulo,2020-06-01,173962
São Paulo,2020-07-01,263253
São Paulo,2020-08-01,327434
São Paulo,2020-09-01,364401
São Paulo,2020-10-01,409826
São Paulo,2020-11-01,419167
São Paulo,2020-12-01,467641
São Paulo,2021-01-01,511532
São Paulo,2021-02-01,504494
São Paulo,2021-03-01,620309
São Paulo,2021-04-01,749828
São Paulo,2021-05-01,902500
São Paulo,2021-06-01,963045
São Paulo,2021-07-01,1071378
São Paulo,2021-08-01,1125487
São Paulo,2021-09-01,1128962
São Paulo,2021-10-01,1194127
São Paulo,2021-11-01,1169324
São Paulo,2021-12-01,1218942
São Paulo,2022-01-01,1219912
São Paulo,2022-02-01,1101856
São Paulo,2022-03-01,1062504